,Comb
2008-11,0.6073918836051064
2008-12,0.7772242443692052
2009-01,0.20589493019006055
2009-02,0.5285750795719274
2009-03,0.5331945199750387
2009-04,0.5372510729463306
2009-05,0.3695135175968271
2009-06,0.5727768937910016
2009-07,0.6267210789174269
2009-08,0.7555046968355449
2009-09,0.8045818378955645
2009-10,0.5849964015874349
2009-11,0.5570075600232998
2009-12,0.41405348910504153
2010-01,0.5471251091835012
2010-02,0.6244403485429315
2010-03,0.9068368182171747
2010-04,0.47330473734529643
2010-05,0.5726991594498929
2010-06,0.5234489936904543
2010-07,0.23413012277851192
2010-08,0.4416062648722395
2010-09,0.04346626422747979
2010-10,0.8440937699162543
2010-11,0.43975247863631295
2010-12,0.4681031371284936
2011-01,0.4095763968988754
2011-02,0.09509397114987211
2011-03,0.17079834503404162
